Organization,Account,Report_Year_End,Report_Month_End,Incentive,Have_Target,Scope3,Savings_Proj_10,Invest_10,Year_MWh,Year_Scope1,Year_Scope2,CDP_Report,Savings_Proj,Savings_Real,Invest,Intensity_FTE,Intensity_Rev
Carnival Corporation,2870,2011,11,1,1,39742,,,38754979,10949844,53228,2012,0,0,27000000,120.5,697
Wyndham Worldwide Corporation,20869,2011,12,1,1,9943,,,981930,98272,282123,2012,0,201636,0,13.68,0
"Avon Products, Inc.",1271,2011,12,1,1,7800,,,427859,70040,101567,2012,0,0,1170708,0,15.44
Whirlpool Corporation,20669,2011,12,1,1,116122248,,,3027611,218728,541315,2012,0,0,0,11.14,40.72
United Continental Holdings,19569,2011,12,1,1,7232148,,,158485539,32771983,231389,2012,0,0,0,410,0.00089
Simon Property Group,17069,2011,12,1,1,12895,,,1129469,22605,561403,2012,0,398046,4100000,106.2,0.14
Prologis,15169,2011,12,1,0,3854,,,20458,2070,6597,2012,410,330,10000,6.23,5.65E-06
Deere & Company,4365,2011,12,1,1,59515.28,,,3625756.2,420019,1041067,2012,0,47000,0,23.84,45.64
Visteon,20265,2011,12,1,1,7351,,,1071677.3,64958,330462,2012,4553,1629,37035000,0,47.95
Applied Materials Inc.,868,2011,12,1,1,34000,,,380000,19500,145000,2012,15000,169787,10812000,12.68,15.6
"McCormick & Company, Incorporated",11566,2011,11,1,1,0,,,194254,15008,57343,2012,578,94,0,8,1.96E-05
"Lexmark International, Inc.",10666,2011,12,1,1,9619,,,299981,18431,132201,2012,9999,0,0,11.3,4.00E-05
Intuit Inc.,9366,2011,7,0,1,55742,,,133961,6769,39494,2012,21316,8670,0,5.78,11.86
General Electric Company,7166,2011,12,1,1,0,,,14090000,2180000,2910000,2012,80525,80000,18000000,16.91,34.57
Western Digital Corp,22865,2011,6,0,0,29461,,,1101277,10717,508427,2012,321,272,54780,8,58
"Coca-Cola Enterprises, Inc.",3565,2011,12,1,1,1851151,,,799222,127684,94062,2012,70107,30464,57753840,16.74,2.68E-05
"Merck & Co., Inc.",11765,2011,12,1,1,596908,,,7684666,1135597,951450,2012,34632,21033,13240908,24,4.30E-05
"Genworth Financial, Inc.",7271,2011,12,0,0,56091,,,30872,176,14430,2012,0,0,0,2.25,2.03
Jacobs Engineering Group Inc.,22365,2011,9,0,0,9188,,,36818,6192,6597,2012,1475,169,0,1.84,1.40E-05
Pall Corporation,14268,2011,7,1,1,240,,,384224,38927.25,110321.67,2012,44178,3358,1609000,13.57,0.054
JPMorgan Chase & Co.,9871,2011,12,1,1,151640,,,2540911,92413,1231178,2012,152000,329760,0,5.09,13.61
MGM Resorts International,11876,2011,12,0,1,0,,,2438849,228928,741851,2012,17994,17970,0,16.24,0.124
"Ryder System, Inc.",16072,2011,12,1,0,18838,,,2083649,459452,88643,2012,0,0,0,21.16,0.114
"The Travelers Companies, Inc.",19377,2011,12,1,1,0,,,0,36254,42222,2012,0,0,0,2.56,3.08E-06
The Coca-Cola Company,3564,2011,12,1,1,44679765,,,15582617,2420996,1308327,2012,2629100,29100,2000000,25.51,80.13
Devon Energy Corporation,4678,2011,12,1,1,21289,,,1009209,7232882,1009209,2012,448882,249376,3633000,0,24.28
Rockline Industries,23577,2011,6,1,1,9390,,,38497,2966,17110,2012,0,10141,1240000,10.4,4.69E-05
Eli Lilly & Co.,5377,2011,12,1,1,261561,,,3435086,409871,1119833,2012,67494,12269,2066892,40.3,63
"Consolidated Edison, Inc.",3776,2011,12,1,1,22971993,,,15103866,3370542,1142721,2012,2225000,2453000,447770000,300,349
Wells Fargo & Company,20575,2011,12,1,1,113727,,,3198198,105454,1495594,2012,49742,49742,7803000,6.1,1.98E-05
Verizon Communications Inc.,20175,2011,12,1,1,0,,,22605213.76,533459.79,5216554.69,2012,729912,419912,0,29.93,5.19
Varian Medical Systems Inc,22874,2011,9,0,1,25461,,,119387.71,42914,20642,2012,215,214,103293,11.15,2.45E-05
Reynolds American Inc.,15774,2011,12,1,1,0,,,960691,113517,180735,2012,0,0,0,54.49,3.45E-05
NSTAR,13574,2011,12,1,1,0,,,261926,156968,13391,2012,5253890,4930764,621500000,56.79,58.14
Hess Corporation,8274,2011,12,0,1,35959661,,,16827160,8509069,547837,2012,2192000,2190700,1760900000,631,235
Fairchild Semiconductor,6174,2011,12,1,0,0,,,655000.4,164608,239756,2012,0,0,0,47,0.0002554
Baxter International Inc.,1574,2011,12,1,1,4051000,,,2670300,336000,458000,2012,0,0,0,16.4,57.2
Terex Corporation,18573,2011,12,0,0,0,,,507936.03,59605.8,59719.79,2012,0,0,0,6.82,1.83E-05
"Stanley Black & Decker, Inc.",17673,2011,12,1,1,799653,,,921729,90693,270078,2012,22424,16672,14501000,8.1,34.8
DIRECTV,4773,2011,12,0,1,68782,,,616600,120873,81792,2012,0,15,0,12.59,9.15
VF Corp,22872,2011,12,1,1,22293,,,807315,93787,183842,2012,11800,6800,1200000,4.8,0
The Hertz Corporation,8272,2011,12,1,0,538,,,672064,181699,100909,2012,1387000,657381,1626583,11.82,3.40E-05
Teachers Insurance and Annuity Association – College Retirement Equities Fund,18371,2011,12,1,1,9402,,,1419989,32749,717140,2012,0,0,0,0,0
General Motors Company,7164,2011,12,1,1,259452500.5,,,21289968,2310819,5329095,2012,367500,1001865,63373669,36.91,5.13E-05
Abbott Laboratories,64,2011,12,1,1,933000,,,5623000,834000,822000,2012,4700,8589,0,18.2,4.26E-05
General Mills Inc.,7156,2011,4,1,1,448800,,,2373000,271000,723000,2012,95000,432,0,28.4,66.8
National Instruments Corp.,40355,2009,12,,,,,,,712,15121,2012,,,,,
National Instruments Corp.,40355,2010,12,,,,,,,811,15846,2012,,,,,
National Instruments Corp.,40355,2011,12,,0,0,,,0,947,17755,2012,,,,0,0
Cabot Corporation,2555,2011,12,1,1,0,,,7441000,3840000,290000,2012,0,0,0,0,1.304
Plum Creek Timber Co. Inc.,14854,2011,12,1,1,291374,,,415233,33712,95494,2012,4880140,4880140,42980126,108.4,0.0001107
Ecolab Inc.,5154,2011,12,1,1,12235,,,928539,189202,88525,2012,3305,3305,1065200,10.2983,4.60E-05
Corning Incorporated,23254,2010,12,1,0,0,,,3750000,371844,1053862,2012,18500,17068,8000000,0,215
Caesars Entertainment,8054,2012,1,1,1,661828,,,2660368,234708,913190,2012,25296,8432,2102205,15.9,0
Brown-Forman Corporation,2354,2011,12,1,1,4745.76,,,755974,105100.52,74481.25,2012,650,601,63650,48.59,0.000228
Akamai Technologies Inc,454,2011,12,0,1,82071,,,198484,377,93362,2012,16010,4007,915000,40,8.00E-05
Teradyne Inc.,18553,2011,12,1,1,4165,,,59747,2103,22544,2012,862,648,434248,8,0.2319
Honeywell International Inc.,8553,2011,12,1,1,0,,,0,5931000,2274000,2012,0,0,0,61.9,0.000229
Entergy Corporation,5653,2011,12,1,1,15080206,,,54030300,34757651,812289,2012,50195856,50161404,2354000000,2422.7,3167.7
Starbucks Corporation,17652,2011,10,1,1,0,,,1433618,228505,751457,2012,0,0,0,6.6,8.37E-05
Sempra Energy,16652,2011,12,1,1,4752221,,,31702341.01,8158566.29,326732,2012,273523809,127000,200000000,688,0.001
MASS Precision,35252,2011,12,0,0,107,,,7328.9,233,2534,2012,225,0,0,7.5,4.25E-05
International Paper Company,9352,2011,12,1,1,779000,,,128220000,8820000,4241000,2012,870000,880000,177000000,212,0.000502
Duke Energy Corporation,5052,2011,12,0,1,0,,,406560820,85271807,0,2012,0,681400,0,0.0047,0.0061
HNI Corporation,35778,2011,12,1,1,11734,,,80607,8682,25422,2012,12951,26327,22071,0,0
Cigna,3352,2012,1,0,0,22734,,,335810,3844,86033,2012,0,0,0,0,0.0158
Kellogg Company,10056,2011,12,1,1,259000,,,4228260,566988,722411,2012,0,18695,0,41.6,0.098
BNY Mellon,1464,2011,12,1,1,24394,,,476651,9490,230078,2012,177286,167229,10650000,4.92,16.26
Biogen Idec Inc.,1857,2011,12,1,1,13240,,,350492,46557,54589,2012,40500,10061,0,20.3,20
Cincinnati Financial Corporation,3358,2011,12,0,0,0,,,106122.39,17968.92,20749.1,2012,0,0,0,9.52,10.18
"Zimmer Holdings, Inc.",21063,2011,12,0,0,0,,,68322,7213,94593,2012,,,,15.11,0
Molex Incorporated,12363,2011,6,0,0,4023,,,490223,12326,284282,2012,0,0,0,0,0.08
Eastman Kodak Company,5163,2011,12,1,1,0,,,4322500,1118000,276000,2012,120000,0,0,81,0.23
NRG Energy Inc,13562,2011,12,1,1,7279,,,76416000,60000000,200000,2012,2300000,1693,62500,11554,6612
AFLAC Incorporated,362,2011,12,1,1,25222,,,55199,4585,21188,2012,3545588,1615261,109665,5.9,5.4
Actiontec Electronics,35762,2011,12,0,1,2294.11,,,1842.62,0,424,2012,0,0,0,0,0
"W.W. Grainger, Inc.",22861,2011,12,0,0,20491,,,292638,27475,94458,2012,2260,2260,14800000,8.4,0
Ormat Technologies Inc,14061,2011,12,,0,0,,,0,1517,2946,2012,0,0,0,0,0
Levi Strauss & Co.,10661,2011,12,1,1,39950,,,219078,10404,75809,2012,3330,3330,0,5.07,1.80E-05
Bernhardt Design a Division of Bernhardt Furniture Company,35761,2011,12,1,1,0,,,37331.24,592,3812,2012,3234,1034,387724,10.41,6.63E-05
Ameren Corporation,661,2011,12,1,1,466717,,,0,67790120,0,2012,344560,1999002,62600000,7484,0.032
The J.M. Smucker Company,22360,2011,12,1,1,9563.2,,,1110647,146606.9,227319.72,2012,14676,5752,1697000,75.74154,6.98E-05
Parker-Hannifin Corporation,14360,2011,12,0,1,0,,,1078000,91817,605769,2012,33000,12210,3840000,12.02,54
Gap Inc.,7060,2011,12,1,1,76006,,,1023708,24104,467756,2012,1471,1471,256900,3.73,3.38E-05
AMR Corporation,660,2011,12,1,1,123300,,,109752300,26851000,463300,2012,0,0,0,341,1139.1
United Technologies Corporation,19859,2011,12,1,1,85054,,,5932014,856354,915866,2012,86940,18199,8139500,8.98,30.46
Total System Services (TSYS),19259,2012,5,0,0,0,,,57210242,0,42908,2012,0,0,0,0,0
The Hershey Company,18859,2011,12,1,1,152026,,,1045460,128854,287422,2012,34516,6727,3205865,35.5,0.068
"Staples, Inc.",17659,2012,1,0,1,0,,,1299955,102360,379472,2012,825638,318410,0,0,20.4
Fluor Corporation,6559,2011,12,0,0,0,,,0,0,0,2012,0,0,0,0,0
UnitedHealth Group Inc,19858,2011,12,0,1,141160,,,241340,10155,112156,2012,4478,3275,2370550,1.325,1.20E-05
salesforce.com,16158,2012,1,1,0,36184.99,,,52133.79,2469.72,19145.03,2012,0,7941,600000,2.78,0.00953463
"Starwood Hotels & Resorts Worldwide, Inc",17657,2011,12,1,1,1407206.71,,,6139556.79,515995.2,2322487.35,2012,26740,3731,335302,18.43,0.000504
HNI Corporation,35778,2010,12,,,,,,,8312,24109,2012,,,,,
Hormel Foods,23197,2011,12,0,1,0,,,2094000,770000,621000,2012,10900,5600,0,0,0.000176
HNI Corporation,35778,2008,12,,,,,,,9588,26747,2012,,,,,
Eaton Corporation,5194,2011,9,1,1,37651,,,1901000,113217,659750,2012,24474,89708,24167000,10.59,56.6
U.S. Bancorp,19593,2011,12,1,0,24695,,,812322,45725,385661,2012,0,6372,0,7.12,2.25E-05
The Chubb Corporation,3293,2011,12,0,0,0,,,28992,1767,13500,2012,0,0,0,0,0
Hillshire Brands Company,16293,2011,6,1,1,1043930,,,1008293,111652,281427,2012,0,1000,0,32.9,98.4
"Best Buy Co., Inc.",1693,2011,12,1,1,42464,,,2101223,231995,644117,2012,67846,67846,775215,13.14,2.02E-05
TriQuint Semiconductor,32492,2011,12,0,0,0,,,173664.09,126806.14,55346.53,2012,0,0,0,65.59,0.000203
Sigma-Aldrich Corporation,16892,2011,12,1,1,2952,,,493775,53927,157073,2012,0,325,190000,24.81,8.40E-05
Dean Foods Company,4392,2011,12,1,1,133289,,,4421379,769598,709010,2012,74434,47530,7939375,61.44,0.000113
American Express,692,2011,12,1,1,49628,,,485535.7,35313.09,195839.5,2012,59370,55539,2669307,3.7,7709
Motorola Solutions,32491,2011,12,0,1,52363,,,474,11935.15,150618,2012,13200,13200,30000,6,20231
Chevron Corporation,3191,2011,12,1,1,396000000,,,84270000,61346995,4561010,2012,4900000,4900000,18000000000,1148.7,259.8
Bristol-Myers Squibb,2191,2011,12,1,1,49403,,,1999216,279981,266968,2012,11460,15441,3109000,20.3,25.8
Agilent Technologies Inc.,391,2011,10,1,1,0,,,267121,10442,111312,2012,28,4472,750000,6.91,0.00018
Abercrombie & Fitch Co.,291,2011,12,1,1,8612,,,264832,8091,125837,2012,6520,4420,31500500,4.96,3.20E-05
State Street Corporation,17690,2011,12,0,1,24396,,,277328,4890,139007,2012,3894000,3297090,552247,4.48,1.49E-05
"PerkinElmer, Inc.",14590,2011,12,1,1,4522,,,125626,18248,21007,2012,0,650,0,0,0.021
"Krueger International, Inc",35790,2011,12,1,1,0,,,88162.75,11836.47,16400.04,2012,0,1027987,0,0,53.8
American Water Works,32490,2011,12,1,1,0,,,1426768,68673,721889,2012,93257,1058,13000000,113,0.000334
Boston Scientific Corporation,2095,2011,12,0,0,0,,,0,27800,119000,2012,0,0,0,0,19.2
Capital One Financial,2695,2011,12,1,1,23159,,,412498,15166,201041,2012,0,0,700000,7.09,13.28
Dr Pepper Snapple Group Inc,4895,2011,12,1,1,258182,,,1403892,246801,169025,2012,0,0,0,21.885557,7.04E-05
Bank of America,1452,2011,12,1,1,873575,,,3699738,110005,1599885,2012,93000,21000,6400000,6.1,1.81E-05
"Whole Foods Market, Inc.",20699,2011,12,1,1,187260,,,781185,257566,412652,2012,0,0,0,0,6.63E-05
Goldman Sachs Group Inc.,7599,2011,12,1,1,168250,,,722711,11787,321641,2012,18672,9336,1391650,10,1.16E-05
CH Energy Group Inc,3099,2011,12,0,0,0,,,135832,103040,57626,2012,0,0,15508886,134,0.0001
"American International Group, Inc.",699,2012,6,0,0,0,,,0,0,0,2012,,,,0,0
UPS,19898,2011,12,1,1,8830483,,,48649774,11980892,891430,2012,96830,93230,1205650000,41.52,0.000242394
Intel Corporation,9298,2011,12,1,1,7170000,,,5288000,885416,2214130,2012,132000,125616,13000000,31,5.70E-05
Citigroup Inc.,3398,2011,12,1,1,7528870,,,2309063.78,36750.52,1039178.2,2012,9050,26162,9083187,3.83,1.30E-05
"Autodesk, Inc.",1198,2012,1,1,1,54748,,,45593,3138,5337,2012,0,3244,4543,1.13,4.00E-06
"Principal Financial Group, Inc.",15097,2011,12,1,1,20177.45,,,116932.01,5413.05,71204.67,2012,696,695,331775,7.53,9.79
Humanscale Corporation,41697,2011,12,0,0,0,,,1254369,640,582,2012,204,200,5000,3,7
eBay Inc.,5197,2011,12,0,1,31072,,,439005,15079,189870,2012,0,2796,0,10,1.75E-05
CenturyLink,31497,2011,12,1,1,35094,,,2775343,190204,1616601,2012,25515,6995,3362840,0,0
"MetLife, Inc.",11796,2011,12,0,0,32978,,,169611,10598,15486,2012,0,0,5106600,2.79,0
"Integrys Energy Group, Inc.",9296,2011,12,1,0,0,,,0,9867664,0,2012,0,0,0,2136,2.1
AIS,41796,2011,12,0,1,4750.71,,,15994.66,2066.38,1828.97,2012,95820,95830,200000,17.63,0
"WellPoint, Inc.",20595,2011,12,0,1,70655,,,0,7712,133658,2012,0,12,0,3.89,2.00E-06
SunPower Corporation,30495,2011,12,1,1,13396,,,466672,5182,219865,2012,0,9579,550719,43,97.3
"Noble Energy, Inc.",13395,2011,12,1,1,0,,,63060370,2045300,75800,2012,113011,113011,9045000,1131,0.00056
Hewlett-Packard,23195,2011,10,1,1,27272000,,,4122000,276449,1724377,2012,23700,299900,11000000,5.72,0.0157
Ford Motor Company,6595,2011,12,1,1,0,,,15605057,1559240,3535959,2012,0,11000,5500000,30.7,3.65E-05
EMC Corporation,5395,2011,12,1,1,4085193,,,1018347,34987,349210,2012,11551,10872,359200,7.17,19.2
"Constellation Brands, Inc.",3795,2012,2,1,0,153758,,,425103,72885,37797,2012,3855,1100,1322000,25,37
Sears Holdings Corporation,16589,2011,12,0,0,0,,,5227235,309538,2232381,2012,0,0,0,0,6.12E-05
International Business Machines (IBM),9284,2011,12,1,1,3112572,,,6376454,535387,2199567,2012,175000,175000,5,5.8,2.40E-05
"Franklin Resources, Inc.",6684,2011,12,1,0,9371,,,103104,9018,31360,2012,2465,2165,6948000,4.63,5.70E-06
Tiffany & Co.,19083,2012,1,0,1,0,,,103617.58,2378,41954,2012,211,101,977400,4.52,1.22E-05
Pinnacle West Capital Corporation,14783,2011,12,0,0,0,,,36791,15272698,20927,2012,1938961,1938961,0,2258,0.04
Pfizer Inc.,14683,2011,12,1,1,3693345,,,8881031,1402528,1256664,2012,179107,97113,88788977,25.65,39.5
Northeast Utilities Inc,13483,2011,12,1,1,2187,,,0,2611251,371032,2012,5099000,5099252,1028200000,492,0.67
"Marsh & McLennan Companies, Inc.",11383,2011,12,1,0,51204.62,,,217198.94,126.69,99842.02,2012,0,0,0,1.72762,8.69E-06
Mosaic Company,12382,2011,12,1,1,9164000,,,10322348.99,2142600,1450790,2012,241893,135893,3015600,466.67,0.000322
Celgene Corporation,2982,2011,12,1,0,0,,,67924,7232,18761,2012,1421,1421,42336000,5.83,5.40E-06
Allstate Corporation,582,2011,12,1,1,144564,,,456908,32500,161923,2012,0,3779.7,30000,5.21,5.95
"Office Depot, Inc.",13779,2011,12,0,1,0,,,471000,39800,270200,2012,0,0,0,0,3.50E-05
NIKE Inc.,13279,2011,5,1,1,1555800,,,207300,8000,76700,2012,0,66400000,0,0,0.004481
Moody's Corporation,12379,2012,4,0,0,0,,,0,0,0,2012,0,0,0,0,0
PG&E Corporation,14678,2010,12,1,1,49833424,,,20935369,3618015,1138434,2012,61700,61758,1536815,245,0.00034
"Pepco Holdings, Inc.",14578,2011,12,1,1,17147,,,1271960,402537,1468804,2012,192191,192191,181895000,366.64,1708
Omnicom Group Inc.,13884,2011,12,1,1,203063,,,222577,43554,81008,2012,0,0,0,1.78,0
Walt Disney Company,20384,2011,9,0,1,0,,,1924200,661493,863344,2012,0,0,0,10.1,38.4
3M Company,285,2011,12,1,1,0,,,12804000,4060000,2030000,2012,0,0,0,0,206
Covanta Energy Corporation,3989,2011,12,1,0,0,,,39541236,4886903,34802,2012,0,0,0,0,2.93
"American Electric Power Company, Inc.",689,2011,12,1,1,0,,,438623000,135671200,0,2012,37000,0,0,7251,0.009
Steelcase,17788,2011,12,1,1,0,,,415350,66985,119979,2012,9000,10000,0,0,19.8
Northrop Grumman Corp,13488,2011,12,1,1,1122020.6,,,1931046.3,170019.2,538953.8,2012,54426,33600,5900000,9.8,26.9
Compuware Corp.,3688,2011,12,1,0,3323.43,,,39746.69,1875,22558,2012,154,154,8050,5.35,24.19
Cognizant Technology Solutions Corp.,3588,2008,12,,,,,,,22981,98784,2012,,,,,
HNI Corporation,35778,2009,12,,,,,,,7324,22031,2012,,,,,
Cognizant Technology Solutions Corp.,3588,2011,12,1,1,64487,,,104259,27829,144629,2012,17750000,9750000,20000,1.26,28.27
"Host Hotels & Resorts, Inc.",8587,2011,12,1,1,988,,,1699741,129593,507537,2012,0,0,717500,0,134
FedEx Corporation,6287,2011,5,1,1,1018713,,,56334467,13802445,989874,2012,616630,616630,0,49.31,0.000376357
SanDisk Corporation,16286,2011,12,1,1,304459.17,,,103937.51,2831.75,63477.7,2012,5876,5876,842395,10.71408042,1.17E-05
Northern Trust,13486,2011,12,1,1,13039,,,128755,3960,60675,2012,20988,20988,0,4.64,1.70E-05
Alliant Energy Corporation,586,2011,12,,0,0,,,0,18781755,0,2012,0,0,0,0,0
"Hospira, Inc.",8585,2011,12,0,1,6310,,,963620,79540,375790,2012,0,0,0,0,112
Fifth Third Bancorp,6285,2011,12,0,0,56122,,,286757.6,16360,118423,2012,368,368,207937,6.3178,2.24E-05
Estee Lauder Companies Inc.,5885,2011,6,1,1,44840,,,281896,32742,63768,2012,0,311,1325000,3.1,11
"CBRE Group, Inc.",2885,2011,12,0,0,1608.9,,,28494198,20646.19,29997.04,2012,0,0,0,1.488918,8.57E-06
Motorola Mobility,31487,2011,12,1,1,47930,,,283719,12536,111782,2012,57000,57000,0,6.06,9.5
The Southern Company,18951,2011,12,0,0,0,,,186264257,121000000,0,2012,180956,180955,32681169,463603,0.69
Avery Dennison Corporation,1227,2011,12,0,1,0,,,1534144,175780,368580,2012,0,4431,2,17.9,80.2
CVS Caremark Corporation,4151,2011,12,0,1,11637,,,3671908,216456,1572334,2012,0,12327,9000000,8.9,16.7
Xylem Inc,36718,2011,12,0,1,0,,,0,0,0,2012,0,0,0,0,0
"Smithfield Foods, Inc.",40418,2008,4,,,,,,,411562,834809,2012,,,,,
"Smithfield Foods, Inc.",40418,2009,4,,,,,,,412020,866394,2012,,,,,
"Smithfield Foods, Inc.",40418,2010,4,,,,,,,407704,800038,2012,,,,,
"Smithfield Foods, Inc.",40418,2011,4,1,1,0,,,3469399,405102,773789,2012,12319,1319,258171,25.43,0.000114455
Schlumberger Limited,16418,2011,12,0,0,2580332,,,11314624,1761333,341824,2012,40308,17334,3102800,19,5.30E-05
H.J. Heinz Company,8218,2012,4,1,1,1431572,,,3270530,507796,356134,2012,1492,492,193000,26.4,74164
"Yum! Brands, Inc.",20917,2011,12,0,1,0,,,3023393,83397,2350100,2012,0,58390,16647000,0,0.258579983
Newmont Mining Corporation,13117,2011,12,1,0,15014.3,,,16140257.1,4414205.63,1145553.1,2012,25116,6516,187500,325,0.53
"Lowe's Companies, Inc.",11017,2011,12,0,0,6907,,,6183979,292747,2605669,2012,0,1263666,13460181,12.58,5.89E-05
Layne Christensen Company,35217,2012,1,1,0,0,,,282555,58559,3785,2012,0,0,6831346,14,55
HCP Inc.,23217,2011,12,1,1,449,,,493025,25694,207500,2012,951,912,212163,1578,0.00051469
Boeing Company,2017,2011,12,1,1,322000,,,5358000,718000,1075000,2012,16000,78100,4206000,10.3,25.8
Advance Paper Box,37817,2011,12,1,0,4.76,,,0,156,815,2012,0,0,0,0,0
Weatherford International Ltd.,20516,2011,12,0,1,48658,,,2777920,524945,235042.68,2012,0,0,0,11.99787,5.78E-05
Thermo Fisher Scientific Inc.,19016,2011,12,1,0,0,,,0,68804,308736,2012,3748,1961,3260224,9.68,3.22E-05
"The Hartford Financial Services Group, Inc.",8116,2011,12,1,1,68212,,,295747,31503,70745,2012,32898,32898,20908400,4.2,4.68E-06
Scripps Networks Interactive Inc.,16516,2011,12,0,0,0,,,0,0,0,2012,0,0,0,0,0
Google Inc.,7616,2011,12,1,1,208157,,,2863853,29563,1439703,2012,0,42,171000,51.9,38.8
First Horizon National Corporation,6416,2012,3,0,0,0,,,0,0,0,2012,0,0,102000,0,0
"Amgen, Inc.",716,2011,12,1,1,49599,,,1176603,126233,274718,2012,32100,14800,6167000,21.2,24.7
"Waste Management, Inc.",20515,2011,12,1,1,8471060,,,38236443,18447494,262992,2012,2000000,2460000,502000000,422.36,0.01
CA Technologies,2519,2011,12,1,1,26798.6,,,181670.8,15839,55713,2012,16382,9059,109589,5.3,15
E.I. du Pont de Nemours and Company,5115,2011,12,1,1,102367,,,47307770,14093100,5282400,2012,0,591000,21800000,277,0.00051
First Solar Inc,6419,2011,12,1,1,18027,,,641468,6927,388531,2012,1118,1543,0,58,0.000143
ModusLink Corporation,41519,2011,7,0,0,0,,,45778,2831,19421,2012,0,0,0,6.13,25.39
Owens-Illinois,22322,2011,12,1,1,0,,,0,4954000,0,2012,0,0,0,206,0.00067
KNOLL INC,10222,2011,12,1,1,417.45,,,155294,17208,39117,2012,1855,1028,174832,56325,56325
Kimball Office,35322,2011,12,1,1,1492.23,,,88174.8,5464.98,21108.74,2012,0,0,55095,28.791,0
Dover Corporation,4822,2011,12,0,1,0,,,695448,147880,252038,2012,0,670,333000,12,0.05
"Darden Restaurants, Inc.",4322,2011,5,1,1,6752,,,3070600,346342,747633,2012,12000,3156,5600000,0,146
"Big Lots, Inc.",1822,2012,1,0,0,0,,,749189,0,0,2012,0,0,0,0,0
Unum Group,20021,2011,12,1,1,3236,,,105300,9465,33321,2012,5062,1748,71310,4.3402,4.16
Pitney Bowes Inc.,14821,2011,12,0,0,7642,,,331019,42858,68869,2012,3594,3594,51502,3.9,21.2
PaperWorks Industries Inc,37621,2010,12,,,,,,,126070.76,122037.16,2012,,,,,
PaperWorks Industries Inc,37621,2011,12,0,1,0,,,293389,121511.96,120442.47,2012,0,3819,725000,0.66,425
Emerson Electric Co.,5521,2012,5,0,0,0,,,0,289470,0,2012,0,0,0,0,0
DTE Energy Company,5021,2011,12,0,1,18155470,,,118090000,36340000,0,2012,0,817,68378600,3708,4084
Target Corporation,18320,2012,1,1,1,28440,,,5490156,476783,2598661,2012,315000,171000,53000000,8.4,44.9
Southwest Airlines Co.,17420,2011,12,0,1,0,,,68369507,17417782,42058,2012,1717152,2905,4800000,387,0.00112
Lockheed Martin Corporation,10820,2011,10,1,1,188319,,,3260829,309529,1011104,2012,115600,57700,32240000,10.74,28.4
Life Technologies Corp.,10720,2011,12,1,1,19414,,,213609,35489,54357,2012,16034,5647,1981569,9.78,2.40E-05
CSX Corporation,4120,2011,12,1,1,29620,,,21986575,5397577,318864,2012,516010,513000,1671600000,184.4,0.000486796
Broadcom Corporation,2320,2011,12,1,0,2809,,,116350,5499,42680,2012,240,91,146000,4.49,6.60E-06
Time Warner Inc.,19119,2011,12,0,0,53731.45,,,603593,24635,209154,2012,0,0,0,6.88,8.08
QUALCOMM Inc.,15419,2011,9,1,0,0,,,469642,63300.3,50614.8,2012,8966,3966,0,0,0
Goodyear Tire & Rubber Company,7619,2011,12,1,1,12018000,,,10939000,1420000,1980000,2012,0,5238,4589862,47,0.00015
SAIC Inc,21622,2011,12,1,1,0,,,206273.32,3119,103586,2012,17060,14600,80000,0,0
Teradata Corp.,18513,2011,12,1,1,0,,,53129,504,20105,2012,0,0,0,2.396,8725
OGE Energy Corporation,13813,2011,12,0,0,0,,,85602767,24046531,569181,2012,0,0,0,6793,0.006286
Yahoo! Inc.,20905,2011,12,1,1,55055,,,0,4000,397397,2012,1415,1244,176802,35,0
United States Steel Corporation,19905,2011,12,1,1,0,,,90801282,44358354,5157520,2012,542556,542214,0,1131.9,2475.2
"PepsiCo, Inc.",14605,2011,12,1,1,4557000,,,21842275,3980007,2016774,2012,18000000,490000,84000000,20.12,90.2
"Micron Technology, Inc.",11905,2011,12,0,0,0,,,3356077,813090,1167992,2012,0,0,0,99.05,0.000225
The AES Corporation,304,2011,12,0,0,0,,,0,74010712,0,2012,0,0,0,2741,4285
"Rockwell Collins, Inc.",15904,2011,9,0,1,21721,,,312705,20180,140680,2012,11482,5714,5617023,8,33470
NVIDIA Corporation,13604,2011,12,0,1,5991.7,,,112140.3,2166.72,43893,2012,1990,1340,190000,0.001,0.011
Microchip Technology,11904,2011,12,1,1,0,,,393616,107219,177182,2012,106096,18032,3091500,41.7,199.68
Apache Corporation,804,2011,12,1,0,0,,,25200000,11760000,1340000,2012,579000,579000,164635000,0,780
"Automatic Data Processing, Inc.",1203,2011,12,0,1,124000,,,356900,17300,146000,2012,29000,26000,514000,0,0
"Wal-Mart Stores, Inc.",20402,2011,12,1,1,33588,,,42542760,5804559,15660871,2012,0,0,0,0,48.36
"Juniper Networks, Inc.",9902,2011,12,1,1,60135.16,,,186036.77,3970.63,88894.14,2012,4690,4200,700350000,81.39,0
Cargill,2802,2011,12,1,1,0,,,49965482,8459483,6113306,2012,0,0,67700000,106.39,0.00013
"Marvell Technology Group, Ltd.",11401,2012,1,1,1,2465621,,,82182,2695,31665,2012,100,35,250000,4.98,1.01E-05
Bemis Company,22901,2011,12,1,1,0,,,2086988,248863,627181,2012,13814,6514,2373379,0.02,0.16
